mdb_id,address,street,postalcode,city,lat,lon
1816,"Corbiestraße 22, 37671 Höxter",Corbiestraße 22,37671,Höxter,51.7767092,9.38363471792511
1816,"Emilienstraße 12, 32756 Detmold",Emilienstraße 12,32756,Detmold,51.9393849,8.87098265307688
2387,"Kornmarkt 12, 24837 Schleswig",Kornmarkt 12,24837,Schleswig,54.5177127,9.5671283
2387,"Heinrichstr. 16b, 24937 Flensburg",Heinrichstr. 16b,24937,Flensburg,54.7822896,9.4424171269544
2094,"Josephsplatz 4, 95444 Bayreuth",Josephsplatz 4,95444,Bayreuth,49.9454056,11.5800042
1324,"Lübecker Straße 6, 23701 Eutin",Lübecker Straße 6,23701,Eutin,54.1355472,10.6171013
1817,"Nördlicher Stadtgraben 9, 94469 Deggendorf",Nördlicher Stadtgraben 9,94469,Deggendorf,48.83509655,12.963665639156563
1817,"Ringmauerstraße 10, 94065 Waldkirchen",Ringmauerstraße 10,94065,Waldkirchen,48.7292846,13.5997808
1817,"Steinfelsstraße 2 a-c, 94405 Landau an der Isar",Steinfelsstraße 2 a-c,94405,Landau an der Isar,48.6717791,12.7013989
1818,"Lauterbachstraße 4, 01796 Pirna",Lauterbachstraße 4,01796,Pirna,50.9612268,13.935604162167873
1818,"Lange Straße 34, 01855 Sebnitz",Lange Straße 34,01855,Sebnitz,50.97227325,14.2774482
1637,,,,,,
1819,"Veringstraße 61, 21107 Hamburg",Veringstraße 61,21107,Hamburg,53.5129525,9.9867947
1819,"Julius-Ludowieg-Straße 9, 21073 Hamburg",Julius-Ludowieg-Straße 9,21073,Hamburg,53.4597814,9.978778110119025
1819,"Vierlandenstraße 27, 21029 Hamburg",Vierlandenstraße 27,21029,Hamburg,53.486495,10.2104773
2096,,,,,,
1620,"Höhne 41, 42109 Wuppertal",Höhne 41,42109,Wuppertal,51.2708861,7.2007335
1620,"Konrad-Adenauer-Straße 7, 42853 Remscheid",Konrad-Adenauer-Straße 7,42853,Remscheid,51.181064,7.1921339
1620,"Elisenstraße 11, 42651 Solingen",Elisenstraße 11,42651,Solingen,51.16842625,7.084826802470946
2388,"Radeberger Straße 51, 01099 Dresden",Radeberger Straße 51,01099,Dresden,51.06891485,13.772156311704546
2388,"Obermarkt 28, 04720 Döbeln",Obermarkt 28,04720,Döbeln,51.1221771,13.122551388830193
1821,"Frankfurter Str. 47, 53840 Troisdorf",Frankfurter Str. 47,53840,Troisdorf,50.8140688,7.170158424815206
2389,,,,,,
1416,,,,,,
